iteration,points,cameras,error,time,pair,active_cams,status
0,1027,17,0.20750986320084097,1.9519996643066406,42_64,"[16, 17, 15, 14, 18, 13, 12, 53, 54, 52, 55, 51, 50, 49, 48, 47, 46]",Fine Reconstruction
0,1811,17,0.20750986320084097,2.0062055587768555,42_64,"[16, 17]",Fine reconstruction
1,3456,17,0.20750986320084097,2.0623111724853516,42_64,"[14, 15]",Fine reconstruction
2,4002,17,0.20750986320084097,2.126814842224121,42_64,"[15, 16]",Fine reconstruction
3,4795,17,0.20750986320084097,2.1958789825439453,42_64,"[17, 18]",Fine reconstruction
4,5566,17,0.20750986320084097,2.2529497146606445,42_64,"[13, 14]",Fine reconstruction
5,6620,17,0.20750986320084097,2.3091423511505127,42_64,"[53, 54]",Fine reconstruction
6,7248,17,0.20750986320084097,2.372631788253784,42_64,"[12, 13]",Fine reconstruction
7,7771,17,0.20750986320084097,2.428863286972046,42_64,"[52, 53]",Fine reconstruction
8,8281,17,0.20750986320084097,2.48180890083313,42_64,"[54, 55]",Fine reconstruction
9,8698,17,0.20750986320084097,2.5421037673950195,42_64,"[51, 52]",Fine reconstruction
10,9119,17,0.20750986320084097,2.592583656311035,42_64,"[50, 51]",Fine reconstruction
11,9517,17,0.20750986320084097,2.6446805000305176,42_64,"[49, 50]",Fine reconstruction
12,9807,17,0.20750986320084097,2.682143449783325,42_64,"[48, 49]",Fine reconstruction
13,10074,17,0.20750986320084097,2.7179038524627686,42_64,"[47, 48]",Fine reconstruction
14,10380,17,0.20750986320084097,2.752032995223999,42_64,"[46, 47]",Fine reconstruction
15,10450,17,0.20750986320084097,2.7831833362579346,42_64,"[12, 14]",Fine reconstruction
16,10510,17,0.20750986320084097,2.818312883377075,42_64,"[15, 17]",Fine reconstruction
17,10573,17,0.20750986320084097,2.8535327911376953,42_64,"[53, 55]",Fine reconstruction
18,10603,17,0.20750986320084097,2.883321523666382,42_64,"[49, 51]",Fine reconstruction
19,10621,17,0.20750986320084097,2.910149335861206,42_64,"[16, 53]",Fine reconstruction
20,10645,17,0.20750986320084097,2.942356586456299,42_64,"[15, 52]",Fine reconstruction
21,10684,17,0.20750986320084097,2.968019962310791,42_64,"[17, 54]",Fine reconstruction
22,10701,17,0.20750986320084097,2.9884579181671143,42_64,"[14, 51]",Fine reconstruction
23,10723,17,0.20750986320084097,3.021559715270996,42_64,"[13, 51]",Fine reconstruction
24,10737,17,0.20750986320084097,3.0471601486206055,42_64,"[16, 54]",Fine reconstruction
25,10753,17,0.20750986320084097,3.0742039680480957,42_64,"[15, 51]",Fine reconstruction
26,10770,17,0.20750986320084097,3.09993839263916,42_64,"[46, 48]",Fine reconstruction
27,10779,17,0.20750986320084097,3.121537208557129,42_64,"[12, 51]",Fine reconstruction
28,10791,17,0.20750986320084097,3.1392533779144287,42_64,"[13, 49]",Fine reconstruction
29,10796,17,0.20750986320084097,3.142711877822876,42_64,"[48, 51]",Fine reconstruction
30,10796,17,0.20750986320084097,3.143989324569702,42_64,"[16, 17, 15, 14, 18, 13, 12, 53, 54, 52, 55, 51, 50, 49, 48, 47, 46]",Filtering: Strict Reprojection
30,10796,17,0.20750986320084097,3.3076868057250977,42_64,"[16, 17, 15, 14, 18, 13, 12, 53, 54, 52, 55, 51, 50, 49, 48, 47, 46]",Filtering: Spatial Outliers
30,10700,17,0.20750986320084097,3.37272047996521,42_64,"[16, 17, 15, 14, 18, 13, 12, 53, 54, 52, 55, 51, 50, 49, 48, 47, 46]",Merging points/observations
30,10700,17,0.20750986320084097,3.373260498046875,42_64,[],Done :D
